code,system
1B75.00,readv2
2BBr.00,readv2
F49..00,readv2
F49..11,readv2
F491.00,readv2
F492.00,readv2
F492000,readv2
F492300,readv2
F492z00,readv2
F495200,readv2
F495300,readv2
F495500,readv2
F495600,readv2
F495800,readv2
F496200,readv2
F496300,readv2
F496500,readv2
F496600,readv2
Z96..00,readv2
2B6A.11,readv2
2B6B.00,readv2
2B6S.00,readv2
2B7A.11,readv2
2B7B.00,readv2
2B7S.00,readv2
6688.11,readv2
6689,readv2
8F6..11,readv2
8F61.00,readv2
8F62.00,readv2
9m08.00,readv2
F404100,readv2
F404200,readv2
F491100,readv2
F491500,readv2
ZK74.00,readv2
ZRr6.00,readv2
2BBo.00,readv2
6688,readv2
6689.11,readv2
668D.00,readv2
8HlE.00,readv2
9NlD.00,readv2
F490.00,readv2
F490z00,readv2
F494.00,readv2
F49z.00,readv2
F49z000,readv2
F4H7300,readv2
FyuL.00,readv2
SJ0z.11,readv2
ZRhO.00,readv2
100108,med
100755,med
100999,med
101051,med
101881,med
10388,med
103907,med
104077,med
104087,med
104666,med
104853,med
105206,med
105493,med
105665,med
105795,med
106329,med
107912,med
10868,med
110179,med
1444,med
15269,med
18819,med
1990,med
20256,med
20607,med
23742,med
25168,med
25547,med
25831,med
2746,med
29387,med
32044,med
32467,med
3268,med
32905,med
33014,med
33016,med
33447,med
37086,med
37893,med
38000,med
3851,med
3852,med
38717,med
3976,med
40451,med
42262,med
44954,med
47956,med
50679,med
510,med
51274,med
52227,med
52630,med
54513,med
54962,med
55108,med
55436,med
55844,med
55846,med
60043,med
6020,med
60401,med
62657,med
63045,med
63928,med
65144,med
6661,med
66731,med
67126,med
67594,med
6768,med
67765,med
67872,med
68386,med
68391,med
69998,med
71319,med
7203,med
72411,med
73224,med
73508,med
8367,med
90766,med
91521,med
9645,med
96455,med
98226,med
98637,med
98672,med
98935,med
99165,med
99166,med
99191,med
99504,med
9NfB.00,readv2
Z961.00,readv2
F49..13,readv2
F49..14,readv2
ZV41000,readv2
F490000,readv2
F490200,readv2
F495100,readv2
F495400,readv2
F490100,readv2
F490400,readv2
F490600,readv2
F491400,readv2
F490900,readv2
F49z.11,readv2
F491000,readv2
F491z00,readv2
F495.00,readv2
F495000,readv2
F495A00,readv2
F495z00,readv2
F496.00,readv2
F496000,readv2
F496z00,readv2
F49y.00,readv2
ZN56800,readv2
ZN56A00,readv2
F491300,readv2
F492200,readv2
F496100,readv2
F491700,readv2
F492400,readv2
F492500,readv2
F496400,readv2
F493.00,readv2
F497.00,readv2
F498.00,readv2
F499.00,readv2
F49A.00,readv2
F49B.00,readv2
F49C.00,readv2
Fy1..00,readv2
Z962.00,readv2